sample,hive,type
BB20_drone,BB20,drone
BB34_drone,BB34,drone
BB44_drone,BB44,drone
BB07_drone,BB07,drone
BB17_drone,BB17,drone
BB41_drone,BB41,drone
BB50_drone,BB50,drone
BB39_drone,BB39,drone
BB13_drone,BB13,drone
BB24_drone,BB24,drone
BB28_drone,BB28,drone
BB37_drone,BB37,drone
BB42_drone,BB42,drone
BB18_drone,BB18,drone
BB04_drone,BB04,drone
BB43_drone,BB43,drone
BB02_drone,BB02,drone
BB36_drone,BB36,drone
BB45_drone,BB45,drone
BB14_drone,BB14,drone
BB40_drone,BB40,drone
BB03_drone,BB03,drone
BB16_drone,BB16,drone
BB56_drone,BB56,drone
BB33_drone,BB33,drone
BB12_drone,BB12,drone
BB27_drone,BB27,drone
BB23_drone,BB23,drone
BB49_drone,BB49,drone
BB55_drone,BB55,drone
BB22_drone,BB22,drone
BB38_drone,BB38,drone
BB25_drone,BB25,drone
BB26_drone,BB26,drone
BB53_drone,BB53,drone
BB06_drone,BB06,drone
BB35_drone,BB35,drone
BB31_drone,BB31,drone
BB21_drone,BB21,drone
BB10_drone,BB10,drone
BB09_drone,BB09,drone
BB05_drone,BB05,drone
BB54_drone,BB54,drone
BB29_drone,BB29,drone
BB27_pool,BB27,pool
BB02_pool,BB02,pool
BB41_pool,BB41,pool
BB10_pool,BB10,pool
BB53_pool,BB53,pool
BB33_pool,BB33,pool
BB44_pool,BB44,pool
BB07_pool,BB07,pool
BB40_pool,BB40,pool
BB13_pool,BB13,pool
BB16_pool,BB16,pool
BB23_pool,BB23,pool
BB55_pool,BB55,pool
BB50_pool,BB50,pool
BB42_pool,BB42,pool
BB21_pool,BB21,pool
BB20_pool,BB20,pool
BB56_pool,BB56,pool
BB28_pool,BB28,pool
BB12_pool,BB12,pool
BB37_pool,BB37,pool
BB18_pool,BB18,pool
BB49_pool,BB49,pool
BB54_pool,BB54,pool
BB48_pool,BB48,pool
BB05_pool,BB05,pool
BB36_pool,BB36,pool
BB25_pool,BB25,pool
BB43_pool,BB43,pool
BB26_pool,BB26,pool
BB04_pool,BB04,pool
BB17_pool,BB17,pool
BB35_pool,BB35,pool
BB03_pool,BB03,pool
BB06_pool,BB06,pool
BB09_pool,BB09,pool
BB34_pool,BB34,pool
BB39_pool,BB39,pool
BB38_pool,BB38,pool
BB31_pool,BB31,pool
BB29_pool,BB29,pool
BB45_pool,BB45,pool
BB24_pool,BB24,pool
